Voltage,Temperature,Frequency(v(out)
5,20,1005950.515
5,21,1012194.995
5,22,1017407.592
5,23,1023204.753
5,24,1029339.752
5,25,1035840.77
5,26,1042509.96
5,27,1048895.789
5,28,1055603.245
5,29,1062395.821
5,30,1069276.893
5,31,1076990.119
5,32,1083920.137
5,33,1091100.366
5,34,1098589.541
5,35,1106503.039
5,36,1114944.341
5,37,1122799.292
5,38,1131220.6
5,39,1140082.606
5,40,1148617.072
5,41,1158059.769
5,42,1167746.299
5,43,1177335.484
5,44,1187165.612
5,45,1197830.745
5,46,1207588.657
5,47,1218238.312
5,48,1230357.763
5,49,1241776.435
5,50,1253571.093
5,51,1265509.493
5,52,1279371.631
5,53,1291278.345
5,54,1305219.935
5,55,1319069.823
5,56,1333936.339
5,57,1348607.49
5,58,1364480.3
5,59,1380138.839
5,60,1398013.093
5.1,20,1005650.89
5.1,21,1011508.883
5.1,22,1017177.148
5.1,23,1023725.282
5.1,24,1029754.655
5.1,25,1035322.542
5.1,26,1042170.224
5.1,27,1048664.319
5.1,28,1055348.625
5.1,29,1062045.564
5.1,30,1068964.375
5.1,31,1076927.639
5.1,32,1083230.542
5.1,33,1090826.314
5.1,34,1099034.956
5.1,35,1106528.995
5.1,36,1114624.501
5.1,37,1122638.817
5.1,38,1130828.475
5.1,39,1139574.514
5.1,40,1148536.878
5.1,41,1157568.729
5.1,42,1167613.513
5.1,43,1177172.786
5.1,44,1187166.649
5.1,45,1197362.171
5.1,46,1207760.336
5.1,47,1218699.43
5.1,48,1229727.561
5.1,49,1241510.908
5.1,50,1253346.146
5.1,51,1265650.366
5.1,52,1278738.978
5.1,53,1291808.218
5.1,54,1305521.78
5.1,55,1319592.92
5.1,56,1333704.12
5.1,57,1348504.787
5.1,58,1364286.588
5.1,59,1381253.244
5.1,60,1397605.971
5.2,20,1005877.492
5.2,21,1011153.963
5.2,22,1017572.144
5.2,23,1023311.825
5.2,24,1029178.791
5.2,25,1035535.201
5.2,26,1042246.549
5.2,27,1048330.78
5.2,28,1055123.29
5.2,29,1062022.215
5.2,30,1068661.142
5.2,31,1075834.058
5.2,32,1083580.294
5.2,33,1090447.931
5.2,34,1098521.838
5.2,35,1106525.294
5.2,36,1114216.243
5.2,37,1122530.289
5.2,38,1131702.102
5.2,39,1140032.803
5.2,40,1149103.355
5.2,41,1157880.792
5.2,42,1167379.956
5.2,43,1176979.02
5.2,44,1187116.029
5.2,45,1197533.168
5.2,46,1207124.146
5.2,47,1218197.489
5.2,48,1230220.878
5.2,49,1241540.414
5.2,50,1253263.36
5.2,51,1265709.157
5.2,52,1277565.058
5.2,53,1291117.839
5.2,54,1304343.802
5.2,55,1318906.54
5.2,56,1333431.705
5.2,57,1348435.081
5.2,58,1363896.831
5.2,59,1380010.646
5.2,60,1398234.192
5.3,20,1005444.183
5.3,21,1011233.503
5.3,22,1016847.598
5.3,23,1022670.481
5.3,24,1028723.072
5.3,25,1035427.928
5.3,26,1041561.983
5.3,27,1048415.218
